UserID,integer_isbn,Rating
243,206,5
243,481,6
243,26,7
243,180,9
243,91,7
243,172,7
243,64,9
243,12,9
243,135,7
243,98,10
254,3,8
254,27,7
254,45,9
254,130,8
254,167,9
254,125,8
254,39,9
254,163,9
254,33,9
254,49,9
254,38,9
254,148,10
254,4,9
638,113,7
638,199,7
638,281,10
638,75,10
638,1,10
638,408,9
638,209,10
638,296,10
638,424,10
638,64,10
638,23,10
638,245,9
638,374,10
638,0,10
1435,206,10
1435,105,5
1435,220,10
1435,370,5
1435,102,8
1435,271,4
1435,362,7
1435,6,8
1435,160,5
1435,174,5
1435,98,10
2766,105,6
2766,186,8
2766,66,7
2766,165,9
2766,253,7
2766,432,6
2766,13,10
2766,356,8
2766,301,8
2766,250,8
2766,0,9
2766,221,8
4017,207,9
4017,62,5
4017,102,10
4017,3,9
4017,14,10
4017,126,10
4017,200,10
4017,199,8
4017,60,10
4017,412,9
4017,432,7
4017,13,10
4017,318,10
4017,379,10
4017,82,9
4017,211,9
4017,44,10
4017,265,9
4017,314,10
4017,74,10
4017,476,10
4017,172,5
4017,0,10
4017,51,10
4017,32,9
4017,274,10
4017,208,9
4017,98,8
6242,158,6
6242,523,6
6242,207,7
6242,339,8
6242,515,3
6242,62,8
6242,102,8
6242,14,8
6242,202,5
6242,113,5
6242,325,5
6242,216,5
6242,456,5
6242,316,7
6242,48,7
6242,44,8
6242,265,5
6242,189,5
6242,226,6
6242,312,8
6242,2,7
6242,224,7
6242,79,5
6242,29,7
6242,221,6
6242,50,7
6251,506,10
6251,257,8
6251,291,8
6251,102,8
6251,14,8
6251,369,7
6251,286,8
6251,502,3
6251,124,10
6251,388,10
6251,164,10
6251,128,10
6251,181,6
6251,123,7
6251,40,7
6251,10,9
6251,39,10
6251,33,10
6251,352,10
6251,20,7
6251,231,10
6251,148,7
6251,16,6
6251,139,4
6251,70,8
6251,69,7
6251,54,9
6251,244,10
6251,63,7
6251,85,10
6543,207,9
6543,67,7
6543,505,8
6543,398,7
6543,42,9
6543,194,10
6543,140,8
6543,411,8
6543,65,6
6543,249,7
6543,231,10
6543,264,8
6543,106,8
6543,69,8
6543,275,6
6543,4,9
6543,223,8
6543,63,8
6543,29,10
6563,309,8
6563,22,10
6563,336,3
6563,8,9
6563,171,1
6563,287,7
6563,27,2
6563,7,8
6563,302,8
6563,31,9
6563,30,9
6563,24,10
6563,10,10
6563,100,9
6563,20,10
6563,455,7
6563,36,7
6563,261,10
6563,114,8
6563,29,8
6563,98,9
6563,341,8
6575,53,9
6575,67,9
6575,337,2
6575,220,8
6575,52,9
6575,97,5
6575,157,7
6575,102,9
6575,3,9
6575,14,7
6575,113,9
6575,201,8
6575,369,7
6575,156,6
6575,43,9
6575,101,8
6575,66,7
6575,9,6
6575,483,8
6575,6,8
6575,84,2
6575,390,7
6575,65,9
6575,91,7
6575,20,6
6575,55,5
6575,379,4
6575,232,9
6575,122,4
6575,229,7
6575,139,7
6575,28,7
6575,265,8
6575,452,7
6575,519,5
6575,347,8
6575,375,7
6575,423,9
6575,64,8
6575,115,9
6575,69,9
6575,57,9
6575,226,9
6575,136,9
6575,312,7
6575,2,8
6575,4,8
6575,188,4
6575,87,6
6575,86,7
6575,79,8
6575,32,4
6575,29,9
6575,50,9
6575,5,8
6575,56,8
7125,67,10
7125,22,10
7125,8,8
7125,466,9
7125,90,7
7125,229,9
7125,16,7
7125,79,6
7125,19,8
7125,442,8
7158,206,7
7158,308,1
7158,126,9
7158,200,8
7158,465,8
7158,6,8
7158,236,8
7158,195,9
