UserID,ISBN,Rating,numBooks,num_books_to_mask,book_rank,integer_isbn
243,155874262X,5,10,3,1,206
243,0449006522,6,10,3,2,481
243,044023722X,7,10,3,3,26
243,0425163407,9,10,3,4,180
243,0385720106,7,10,3,5,91
243,0316899984,7,10,3,6,172
243,0316776963,9,10,3,7,64
243,0316601950,9,10,3,8,12
243,0060977493,7,10,3,9,135
243,0060915544,10,10,3,10,98
254,0679781587,8,13,3,1,3
254,0671021001,7,13,3,2,27
254,0590353403,9,13,3,3,45
254,0451526341,8,13,3,4,130
254,0451524934,9,13,3,5,167
254,0451167317,8,13,3,6,125
254,0439139597,9,13,3,7,39
254,0439136369,9,13,3,8,163
254,0439136350,9,13,3,9,33
254,0439064872,9,13,3,10,49
254,0439064864,9,13,3,11,38
254,0380789035,10,13,3,12,148
254,0142001740,9,13,3,13,4
638,0679746048,7,14,4,1,113
638,0670892963,7,14,4,2,199
638,0446531332,10,14,4,3,281
638,0385505833,10,14,4,4,75
638,0385504209,10,14,4,5,1
638,0385420161,9,14,4,6,408
638,0345339711,10,14,4,7,209
638,0316969443,10,14,4,8,296
638,0316789089,10,14,4,9,424
638,0316776963,10,14,4,10,64
638,0316769487,10,14,4,11,23
638,0316693200,9,14,4,12,245
638,0316693006,10,14,4,13,374
638,0316666343,10,14,4,14,0
1435,155874262X,10,11,3,1,206
1435,0971880107,5,11,3,2,105
1435,080410753X,10,11,3,3,220
1435,0684848783,5,11,3,4,370
1435,068484267X,8,11,3,5,102
1435,0671024248,4,11,3,6,271
1435,0451183665,7,11,3,7,362
1435,0446672211,8,11,3,8,6
1435,0345387651,5,11,3,9,160
1435,0345378490,5,11,3,10,174
1435,0060915544,10,11,3,11,98
2766,0971880107,6,12,3,1,105
2766,0767902521,8,12,3,2,186
2766,0553279912,7,12,3,3,66
2766,0449005615,9,12,3,4,165
2766,0446611867,7,12,3,5,253
2766,0446516538,6,12,3,6,432
2766,0446310786,10,12,3,7,13
2766,0440221595,8,12,3,8,356
2766,0440219078,8,12,3,9,301
2766,0440211263,8,12,3,10,250
2766,0316666343,9,12,3,11,0
2766,0060958022,8,12,3,12,221
4017,1573225789,9,28,8,1,207
4017,068484477X,5,28,8,2,62
4017,068484267X,10,28,8,3,102
4017,0679781587,9,28,8,4,3
4017,067976402X,10,28,8,5,14
4017,0671510053,10,28,8,6,126
4017,0671038184,10,28,8,7,200
4017,0670892963,8,28,8,8,199
4017,0452282829,10,28,8,9,60
4017,0452260116,9,28,8,10,412
4017,0446516538,7,28,8,11,432
4017,0446310786,10,28,8,12,13
4017,0385486804,10,28,8,13,318
4017,038533334X,10,28,8,14,379
4017,0385265700,9,28,8,15,82
4017,0380730138,9,28,8,16,211
4017,0375707972,10,28,8,17,44
4017,0375705856,9,28,8,18,265
4017,037570504X,10,28,8,19,314
4017,0345443284,10,28,8,20,74
4017,0345424719,10,28,8,21,476
4017,0316899984,5,28,8,22,172
4017,0316666343,10,28,8,23,0
4017,0316096199,10,28,8,24,51
4017,014028009X,9,28,8,25,32
4017,0140244824,10,28,8,26,274
4017,0060929871,9,28,8,27,208
4017,0060915544,8,28,8,28,98
6242,1573229326,6,26,7,1,158
6242,1573227331,6,26,7,2,523
6242,1573225789,7,26,7,3,207
6242,0871136791,8,26,7,4,339
6242,0749397543,3,26,7,5,515
6242,068484477X,8,26,7,6,62
6242,068484267X,8,26,7,7,102
6242,067976402X,8,26,7,8,14
6242,0679751521,5,26,7,9,202
6242,0679746048,5,26,7,10,113
6242,0452264464,5,26,7,11,325
6242,0446670251,5,26,7,12,216
6242,039592720X,5,26,7,13,456
6242,038542017X,7,26,7,14,316
6242,0375726403,7,26,7,15,48
6242,0375707972,8,26,7,16,44
6242,0375705856,5,26,7,17,265
6242,0312291639,5,26,7,18,189
6242,0312282990,6,26,7,19,226
6242,0312243022,8,26,7,20,312
6242,0312195516,7,26,7,21,2
